time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-06 15:20:49.6250,0.493,-0.824,0.211,0.02,0.16,0.08,0.02,0.01,0.01
2022-12-06 15:20:56.2520,0.497,-0.836,0.21,0.29,-0.1,-0.31,0.02,0.03,0.01
2022-12-06 15:20:56.2620,0.518,-0.842,0.194,0.2,0.03,-0.24,0.02,0.04,0.01
2022-12-06 15:20:56.2720,0.534,-0.842,0.182,0.0,0.08,-0.1,0.02,0.04,0.01
2022-12-06 15:20:56.2820,0.54,-0.835,0.177,-0.15,0.07,0.02,0.02,0.03,0.0
2022-12-06 15:20:56.2920,0.533,-0.828,0.177,-0.19,0.0,0.06,0.02,0.02,0.0
2022-12-06 15:20:56.3020,0.529,-0.827,0.178,-0.12,-0.07,0.07,0.03,0.01,0.01
2022-12-06 15:20:56.3120,0.521,-0.832,0.187,-0.08,-0.06,0.04,0.02,0.01,0.01
2022-12-06 15:20:56.3220,0.516,-0.834,0.187,0.0,-0.02,-0.04,0.02,0.02,0.01
2022-12-06 15:20:56.3320,0.516,-0.831,0.188,0.04,0.0,-0.03,0.02,0.02,0.01
2022-12-06 15:20:56.3420,0.519,-0.832,0.185,0.04,-0.03,-0.04,0.02,0.02,0.02
2022-12-06 15:20:56.3520,0.525,-0.836,0.184,0.0,-0.02,0.0,0.02,0.01,0.01
2022-12-06 15:20:56.3620,0.527,-0.839,0.184,-0.05,0.02,0.01,0.02,0.0,0.01
2022-12-06 15:20:56.3720,0.527,-0.838,0.179,-0.07,0.05,0.01,0.02,-0.02,0.02
2022-12-06 15:20:56.3820,0.527,-0.836,0.178,-0.07,0.04,0.06,0.02,-0.03,0.02
2022-12-06 15:20:56.3920,0.526,-0.837,0.183,-0.07,0.02,0.06,0.01,-0.04,0.02
2022-12-06 15:20:56.4020,0.525,-0.833,0.181,-0.06,0.03,0.02,0.01,-0.04,0.02
2022-12-06 15:20:56.4120,0.521,-0.83,0.182,-0.04,-0.01,0.04,0.02,-0.02,0.02
2022-12-06 15:20:56.4220,0.516,-0.831,0.187,-0.01,-0.05,0.02,0.02,-0.02,0.02
2022-12-06 15:20:56.4320,0.513,-0.836,0.189,0.04,-0.02,-0.02,0.02,-0.02,0.02
2022-12-06 15:20:56.4420,0.511,-0.837,0.19,0.06,0.02,-0.05,0.02,-0.01,0.02
2022-12-06 15:20:56.4520,0.512,-0.832,0.186,0.08,0.02,-0.05,0.02,0.01,0.02
2022-12-06 15:20:56.4620,0.517,-0.829,0.189,0.06,-0.03,-0.01,0.02,0.03,0.01
2022-12-06 15:20:56.4720,0.518,-0.83,0.188,0.02,-0.05,-0.05,0.02,0.04,0.01
2022-12-06 15:20:56.4820,0.521,-0.83,0.185,0.01,-0.04,-0.01,0.03,0.05,0.01
2022-12-06 15:20:56.4920,0.518,-0.835,0.193,-0.02,-0.03,-0.01,0.03,0.06,0.01
2022-12-06 15:20:56.5020,0.516,-0.839,0.189,0.02,0.02,-0.06,0.03,0.07,0.0
2022-12-06 15:20:56.5120,0.518,-0.841,0.19,0.03,0.05,-0.03,0.03,0.06,0.01
2022-12-06 15:20:56.5220,0.522,-0.843,0.187,0.0,0.07,-0.02,0.03,0.05,0.01
2022-12-06 15:20:56.5320,0.523,-0.839,0.185,-0.02,0.09,0.01,0.03,0.03,0.01
2022-12-06 15:20:56.5420,0.529,-0.828,0.178,-0.05,0.03,0.04,0.04,0.01,0.01
2022-12-06 15:20:56.5520,0.525,-0.817,0.172,-0.11,-0.07,0.11,0.04,0.02,0.01
2022-12-06 15:20:56.5620,0.509,-0.807,0.176,-0.04,-0.19,0.17,0.05,0.04,-0.01
2022-12-06 15:20:56.5720,0.497,-0.814,0.186,0.12,-0.26,0.11,0.04,0.06,-0.02
2022-12-06 15:20:56.5820,0.49,-0.825,0.19,0.23,-0.17,0.04,0.05,0.1,-0.03
2022-12-06 15:20:56.5920,0.485,-0.829,0.197,0.29,-0.07,0.0,0.04,0.14,-0.04
2022-12-06 15:20:56.6020,0.49,-0.831,0.206,0.33,-0.04,-0.06,0.04,0.17,-0.05
2022-12-06 15:20:56.6120,0.5,-0.836,0.205,0.27,-0.01,-0.14,0.04,0.2,-0.06
2022-12-06 15:20:56.6220,0.497,-0.836,0.196,0.18,0.04,-0.1,0.06,0.23,-0.09
2022-12-06 15:20:56.6320,0.502,-0.85,0.18,0.23,0.05,0.0,0.05,0.21,-0.09
2022-12-06 15:20:56.6420,0.509,-0.852,0.2,0.16,0.21,0.18,0.02,0.18,-0.09
2022-12-06 15:20:56.6520,0.548,-0.816,0.195,0.1,0.2,-0.07,0.05,0.13,-0.05
2022-12-06 15:20:56.6620,0.561,-0.729,0.175,-0.32,-0.28,0.08,0.03,0.11,-0.03
