time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-06 15:43:56.7850,-0.658,-0.701,-0.24,-0.16,-0.04,0.03,-0.01,0.02,0.01
2022-12-06 15:43:56.8010,-0.661,-0.69,-0.255,-0.22,0.07,0.04,-0.01,-0.01,0.02
2022-12-06 15:43:56.8070,-0.662,-0.671,-0.261,-0.2,-0.09,0.16,-0.01,-0.03,0.02
2022-12-06 15:43:56.8170,-0.67,-0.664,-0.263,-0.18,-0.25,0.2,-0.01,-0.04,0.03
2022-12-06 15:43:56.8280,-0.683,-0.677,-0.268,-0.08,-0.24,0.23,0.0,-0.02,0.02
2022-12-06 15:43:56.8380,-0.691,-0.694,-0.268,0.04,-0.07,0.27,0.0,0.01,0.01
2022-12-06 15:43:56.8490,-0.691,-0.7,-0.264,0.09,0.07,0.24,0.01,0.03,0.0
2022-12-06 15:43:56.8580,-0.691,-0.692,-0.262,0.07,0.07,0.21,0.02,0.04,-0.0
2022-12-06 15:43:56.8670,-0.695,-0.69,-0.252,0.1,-0.02,0.18,0.02,0.04,-0.0
2022-12-06 15:43:56.8790,-0.691,-0.697,-0.24,0.12,0.01,0.05,0.02,0.01,0.0
2022-12-06 15:43:56.8890,-0.677,-0.7,-0.231,0.05,0.08,-0.04,0.02,-0.0,0.01
2022-12-06 15:43:56.8990,-0.661,-0.697,-0.225,-0.11,0.07,-0.13,0.01,-0.02,0.02
2022-12-06 15:43:56.9090,-0.654,-0.691,-0.221,-0.25,0.03,-0.19,0.02,-0.02,0.03
2022-12-06 15:43:56.9190,-0.663,-0.684,-0.225,-0.26,-0.03,-0.19,0.02,-0.01,0.04
2022-12-06 15:43:56.9290,-0.684,-0.685,-0.235,-0.13,-0.07,-0.13,0.02,-0.01,0.04
2022-12-06 15:43:56.9390,-0.705,-0.691,-0.246,0.11,-0.04,-0.03,0.02,-0.02,0.03
2022-12-06 15:43:56.9490,-0.703,-0.701,-0.259,0.24,0.04,0.09,0.02,-0.01,0.02
2022-12-06 15:43:56.9580,-0.684,-0.702,-0.268,0.13,0.12,0.2,0.02,0.02,0.02
2022-12-06 15:43:56.9680,-0.672,-0.694,-0.275,-0.05,0.09,0.29,0.03,0.05,0.02
2022-12-06 15:43:56.9780,-0.67,-0.685,-0.276,-0.13,0.0,0.35,0.04,0.05,0.02
2022-12-06 15:43:56.9880,-0.671,-0.679,-0.269,-0.11,-0.09,0.33,0.04,0.05,0.03
2022-12-06 15:43:56.9990,-0.666,-0.684,-0.259,-0.13,-0.11,0.24,0.06,0.05,0.04
2022-12-06 15:43:57.0080,-0.663,-0.691,-0.247,-0.18,-0.04,0.14,0.08,0.05,0.04
2022-12-06 15:43:57.0180,-0.661,-0.69,-0.229,-0.2,0.0,0.0,0.08,0.01,0.02
2022-12-06 15:43:57.0280,-0.657,-0.693,-0.224,-0.25,-0.02,-0.16,0.08,-0.04,0.0
2022-12-06 15:43:57.0380,-0.676,-0.712,-0.236,-0.19,0.08,-0.11,0.09,-0.12,0.0
2022-12-06 15:43:57.0480,-0.698,-0.708,-0.233,0.0,0.23,-0.01,0.08,-0.18,-0.01
2022-12-06 15:43:57.0570,-0.718,-0.702,-0.22,0.24,0.12,-0.09,0.07,-0.2,-0.03
2022-12-06 15:43:57.0680,-0.701,-0.695,-0.222,0.33,0.08,-0.18,0.06,-0.19,-0.01
2022-12-06 15:43:57.0790,-0.663,-0.69,-0.232,0.02,0.0,-0.08,0.07,-0.17,0.02
2022-12-06 15:43:57.0890,-0.678,-0.702,-0.236,-0.25,0.0,0.02,0.08,-0.19,-0.01
2022-12-06 15:43:57.0980,-0.728,-0.719,-0.223,0.15,0.17,0.01,0.07,-0.12,-0.09
2022-12-06 15:43:57.1080,-0.719,-0.707,-0.225,0.47,0.25,-0.09,0.06,0.11,-0.11
2022-12-06 15:43:57.1180,-0.669,-0.658,-0.267,0.18,-0.02,0.08,0.07,0.23,-0.02
2022-12-06 15:43:57.1290,-0.667,-0.613,-0.287,-0.24,-0.59,0.49,0.1,0.18,0.05
2022-12-06 15:43:57.1390,-0.728,-0.641,-0.256,0.06,-0.79,0.5,0.13,0.02,-0.04
2022-12-06 15:43:57.1480,-0.744,-0.705,-0.205,0.61,-0.29,0.02,0.12,-0.04,-0.19
2022-12-06 15:43:57.1580,-0.684,-0.727,-0.201,0.46,0.23,-0.31,0.1,-0.07,-0.24
2022-12-06 15:43:57.1680,-0.589,-0.689,-0.196,-0.27,0.23,-0.18,0.06,-0.25,-0.09
2022-12-06 15:43:57.1780,-0.51,-0.633,-0.17,-1.26,-0.4,-0.48,0.06,-0.32,0.05
2022-12-06 15:43:57.1880,-0.541,-0.687,-0.201,-1.67,-0.56,-0.42,0.09,-0.34,0.08
2022-12-06 15:43:57.1980,-0.628,-0.725,-0.196,-1.06,0.13,-0.14,0.09,-0.33,0.1
2022-12-06 15:43:57.2100,-0.696,-0.672,-0.173,-0.25,0.12,-0.33,0.07,-0.35,0.15
2022-12-06 15:43:57.2180,-0.7,-0.622,-0.2,0.22,-0.47,-0.38,0.07,-0.35,0.15
2022-12-06 15:43:57.2290,-0.645,-0.584,-0.265,-0.04,-0.87,0.1,0.12,-0.25,0.36
2022-12-06 15:43:57.2390,-0.614,-0.546,-0.286,-0.62,-1.25,0.72,0.18,0.07,0.38
2022-12-06 15:43:57.2490,-0.731,-0.637,-0.355,-0.49,-1.28,0.94,0.26,0.16,0.27
2022-12-06 15:43:57.2590,-0.809,-0.706,-0.334,0.83,-0.11,1.54,0.26,0.16,0.27
2022-12-06 15:43:57.2700,-0.741,-0.637,-0.249,1.04,0.01,0.95,0.31,-0.06,0.34
2022-12-06 15:43:57.2800,-0.616,-0.587,-0.201,-0.06,-0.82,0.19,0.35,-0.1,0.34
2022-12-06 15:43:57.2890,-0.635,-0.719,-0.205,-1.01,-0.75,-0.02,0.4,-0.04,0.04
2022-12-06 15:43:57.2980,-0.702,-0.907,-0.226,-0.23,1.16,0.15,0.44,-0.15,-0.13
2022-12-06 15:43:57.3090,-0.58,-0.85,-0.199,-0.26,2.23,0.3,0.4,-0.35,0.0
2022-12-06 15:43:57.3180,-0.522,-0.686,-0.149,-1.54,1.03,-0.07,0.3,-0.77,0.17
2022-12-06 15:43:57.3290,-0.559,-0.624,-0.139,-1.71,-0.51,-0.48,0.33,-0.9,0.28
2022-12-06 15:43:57.3380,-0.649,-0.711,-0.198,-1.15,-0.3,-0.1,0.38,-0.84,0.26
2022-12-06 15:43:57.3480,-0.738,-0.719,-0.188,-0.22,0.31,0.32,0.36,-0.89,0.24
2022-12-06 15:43:57.3580,-0.714,-0.677,-0.186,0.35,0.26,0.31,0.26,-0.93,0.37
2022-12-06 15:43:57.3690,-0.69,-0.666,-0.2,-0.25,-0.27,0.37,0.18,-0.85,0.49
2022-12-06 15:43:57.3790,-0.775,-0.734,-0.265,-0.02,0.15,0.79,0.23,-0.72,0.51
2022-12-06 15:43:57.3890,-0.85,-0.732,-0.313,0.8,0.63,1.57,0.32,-0.55,0.43
2022-12-06 15:43:57.3980,-0.856,-0.697,-0.223,1.32,0.39,1.64,0.37,-0.29,0.41
2022-12-06 15:43:57.4090,-0.842,-0.725,-0.145,1.15,0.3,0.59,0.41,-0.04,0.44
2022-12-06 15:43:57.4190,-0.84,-0.768,-0.148,1.03,0.68,0.22,0.47,0.28,0.43
2022-12-06 15:43:57.4280,-0.851,-0.846,-0.175,1.09,1.3,0.39,0.59,0.57,0.44
2022-12-06 15:43:57.4380,-0.811,-0.786,-0.195,0.92,1.76,0.69,0.73,0.83,0.34
2022-12-06 15:43:57.4490,-0.843,-0.707,-0.157,0.78,0.78,0.71,0.82,0.84,0.11
2022-12-06 15:43:57.4590,-0.74,-0.741,-0.022,0.94,0.55,-0.01,0.75,0.62,0.18
2022-12-06 15:43:57.4680,-0.576,-0.657,0.155,-0.86,0.52,-1.52,0.26,0.04,0.26
2022-12-06 15:43:57.4780,-0.622,-0.706,0.514,-1.57,-0.08,-3.82,-0.7,-0.3,-0.1
2022-12-06 15:43:57.4880,-0.769,-0.857,0.569,-0.78,0.98,-7.19,-1.88,0.75,-1.15
2022-12-06 15:43:57.5000,-0.824,-1.018,0.329,0.95,2.7,-5.75,-2.66,1.78,-2.05
2022-12-06 15:43:57.5090,-0.228,-0.699,-0.178,-0.79,2.38,-3.73,-0.21,0.16,-1.27
2022-12-06 15:43:57.5180,-0.173,-0.586,-0.858,-5.8,-0.25,3.38,1.12,-1.42,0.08
2022-12-06 15:43:57.5300,-0.432,-0.238,-0.482,-4.42,-2.18,6.34,0.86,-1.01,1.05
2022-12-06 15:43:57.5400,-0.74,-0.065,-0.041,-1.65,-5.35,1.25,0.1,-0.08,1.16
2022-12-06 15:43:57.5490,-0.919,-0.264,-0.103,1.02,-5.7,-1.36,-0.05,-0.41,0.9
2022-12-06 15:43:57.5590,-1.029,-0.606,-0.419,2.19,-2.59,0.88,0.45,-1.17,0.41
2022-12-06 15:43:57.5680,-1.056,-0.745,-0.444,3.23,0.23,3.38,0.88,-1.71,0.09
2022-12-06 15:43:57.5780,-0.819,-0.599,-0.262,2.48,0.58,2.61,0.99,-1.43,0.09
2022-12-06 15:43:57.5880,-0.552,-0.46,-0.149,-0.41,-1.56,1.1,0.5,-1.0,0.13
2022-12-06 15:43:57.5990,-0.516,-0.681,-0.179,-2.26,-1.39,0.53,0.08,-0.7,0.27
2022-12-06 15:43:57.6080,-0.597,-0.827,-0.436,-2.02,0.94,1.82,0.29,-0.57,0.36
2022-12-06 15:43:57.6180,-0.721,-0.787,-0.487,-1.06,1.69,4.24,0.63,-0.92,0.27
2022-12-06 15:43:57.6290,-0.836,-0.632,-0.327,0.17,0.72,3.6,0.79,-1.24,0.05
2022-12-06 15:43:57.6380,-0.88,-0.565,-0.311,1.08,-0.71,2.47,0.92,-1.66,-0.25
2022-12-06 15:43:57.6490,-0.846,-0.653,-0.433,1.22,-0.74,3.13,1.19,-2.24,-0.5
2022-12-06 15:43:57.6600,-0.773,-0.756,-0.594,0.71,0.34,4.8,1.52,-2.82,-0.65
2022-12-06 15:43:57.6690,-0.685,-0.779,-0.72,-0.03,1.04,6.58,1.81,-3.3,-0.7
