time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-06 15:33:17.3210,-0.516,-0.806,-0.292,-0.2,-0.05,-0.02,-0.01,-0.06,0.07
2022-12-06 15:33:17.3350,-0.522,-0.816,-0.3,0.03,0.07,-0.05,0.01,-0.02,0.06
2022-12-06 15:33:17.3410,-0.532,-0.825,-0.302,0.09,0.15,0.01,0.03,0.02,0.03
2022-12-06 15:33:17.3510,-0.542,-0.835,-0.303,0.2,0.26,0.04,0.04,0.06,-0.0
2022-12-06 15:33:17.3610,-0.542,-0.827,-0.295,0.28,0.29,0.01,0.05,0.11,-0.03
2022-12-06 15:33:17.3710,-0.538,-0.809,-0.286,0.26,0.14,-0.06,0.05,0.1,-0.04
2022-12-06 15:33:17.3810,-0.525,-0.805,-0.279,0.2,0.01,-0.17,0.04,0.06,-0.05
2022-12-06 15:33:17.3910,-0.508,-0.809,-0.274,0.05,0.0,-0.21,0.03,0.03,-0.05
2022-12-06 15:33:17.4010,-0.494,-0.816,-0.282,-0.1,0.06,-0.23,0.01,0.03,-0.05
2022-12-06 15:33:17.4110,-0.488,-0.808,-0.281,-0.21,0.09,-0.15,0.0,0.01,-0.02
2022-12-06 15:33:17.4210,-0.489,-0.793,-0.268,-0.24,-0.04,-0.23,-0.02,-0.02,0.02
2022-12-06 15:33:17.4310,-0.5,-0.786,-0.268,-0.2,-0.17,-0.33,-0.04,-0.05,0.05
2022-12-06 15:33:17.4410,-0.508,-0.781,-0.276,-0.09,-0.21,-0.26,-0.06,-0.09,0.08
2022-12-06 15:33:17.4510,-0.505,-0.779,-0.273,-0.06,-0.25,-0.22,-0.08,-0.15,0.09
2022-12-06 15:33:17.4610,-0.496,-0.792,-0.276,-0.13,-0.22,-0.27,-0.1,-0.21,0.1
2022-12-06 15:33:17.4710,-0.497,-0.807,-0.298,-0.22,-0.05,-0.13,-0.1,-0.2,0.1
2022-12-06 15:33:17.4810,-0.511,-0.804,-0.316,-0.17,0.05,0.08,-0.1,-0.15,0.12
2022-12-06 15:33:17.4910,-0.537,-0.802,-0.325,0.01,0.0,0.23,-0.08,-0.09,0.13
2022-12-06 15:33:17.5010,-0.555,-0.804,-0.329,0.25,0.02,0.28,-0.07,-0.03,0.12
2022-12-06 15:33:17.5110,-0.558,-0.8,-0.329,0.36,0.03,0.31,-0.05,0.01,0.09
2022-12-06 15:33:17.5210,-0.547,-0.789,-0.333,0.32,-0.04,0.31,-0.04,0.05,0.08
2022-12-06 15:33:17.5310,-0.532,-0.789,-0.345,0.19,-0.12,0.37,-0.01,0.11,0.07
2022-12-06 15:33:17.5410,-0.533,-0.791,-0.347,0.07,-0.1,0.49,0.02,0.15,0.06
2022-12-06 15:33:17.5510,-0.532,-0.795,-0.319,0.13,-0.06,0.39,0.03,0.13,0.06
2022-12-06 15:33:17.5610,-0.515,-0.772,-0.288,0.05,-0.11,0.04,-0.0,0.16,0.09
2022-12-06 15:33:17.5710,-0.504,-0.773,-0.315,-0.15,-0.31,-0.06,0.0,0.14,0.12
2022-12-06 15:33:17.5810,-0.535,-0.815,-0.307,-0.1,-0.13,0.17,0.02,0.04,0.12
2022-12-06 15:33:17.5910,-0.538,-0.851,-0.285,0.18,0.35,-0.07,0.0,-0.05,0.08
2022-12-06 15:33:17.6010,-0.532,-0.842,-0.283,0.08,0.54,-0.17,-0.01,-0.07,0.02
2022-12-06 15:33:17.6110,-0.534,-0.818,-0.289,0.08,0.36,-0.18,-0.03,-0.08,0.01
2022-12-06 15:33:17.6210,-0.538,-0.797,-0.305,0.09,0.13,-0.06,-0.03,-0.09,0.02
2022-12-06 15:33:17.6310,-0.551,-0.788,-0.324,0.17,-0.05,0.08,-0.02,-0.03,0.01
2022-12-06 15:33:17.6410,-0.561,-0.797,-0.344,0.29,-0.07,0.32,0.01,0.0,-0.03
2022-12-06 15:33:17.6510,-0.564,-0.83,-0.352,0.37,0.11,0.42,0.07,0.06,-0.07
2022-12-06 15:33:17.6610,-0.56,-0.894,-0.349,0.35,0.51,0.59,0.14,0.31,-0.01
2022-12-06 15:33:17.6710,-0.618,-0.857,-0.298,0.54,1.01,0.18,0.13,0.3,-0.11
2022-12-06 15:33:17.6810,-0.6,-0.775,-0.32,0.99,0.21,0.03,0.12,0.39,-0.19
2022-12-06 15:33:17.6910,-0.602,-0.705,-0.323,0.69,-0.47,0.15,0.14,0.69,-0.26
2022-12-06 15:33:17.7010,-0.605,-0.712,-0.364,1.04,-1.15,0.27,0.15,0.73,-0.29
