time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-06 15:33:18.2960,0.014,0.425,-0.943,0.0,0.06,0.31,0.27,-0.18,-0.22
2022-12-06 15:33:18.3030,0.008,0.435,-0.952,0.13,-0.07,0.39,0.27,-0.2,-0.22
2022-12-06 15:33:18.3130,0.016,0.44,-0.956,0.1,-0.18,0.45,0.27,-0.2,-0.23
2022-12-06 15:33:18.3220,0.026,0.442,-0.95,-0.03,-0.24,0.45,0.26,-0.2,-0.23
2022-12-06 15:33:18.3330,0.029,0.438,-0.94,-0.13,-0.26,0.35,0.24,-0.17,-0.23
2022-12-06 15:33:18.3430,0.026,0.435,-0.929,-0.16,-0.23,0.24,0.22,-0.15,-0.21
2022-12-06 15:33:18.3530,0.02,0.437,-0.916,-0.14,-0.24,0.11,0.2,-0.16,-0.2
2022-12-06 15:33:18.3630,0.007,0.435,-0.908,-0.08,-0.27,0.0,0.19,-0.18,-0.18
2022-12-06 15:33:18.3730,-0.003,0.435,-0.898,0.03,-0.26,-0.09,0.19,-0.2,-0.16
2022-12-06 15:33:18.3830,-0.012,0.438,-0.892,0.09,-0.29,-0.19,0.19,-0.21,-0.15
2022-12-06 15:33:18.3930,-0.022,0.443,-0.893,0.16,-0.34,-0.23,0.19,-0.19,-0.13
2022-12-06 15:33:18.4030,-0.028,0.45,-0.898,0.22,-0.43,-0.21,0.19,-0.15,-0.13
2022-12-06 15:33:18.4130,-0.027,0.453,-0.904,0.24,-0.5,-0.16,0.19,-0.11,-0.13
2022-12-06 15:33:18.4230,-0.025,0.453,-0.907,0.2,-0.53,-0.11,0.19,-0.1,-0.13
2022-12-06 15:33:18.4330,-0.025,0.451,-0.909,0.18,-0.54,-0.09,0.2,-0.11,-0.12
2022-12-06 15:33:18.4430,-0.02,0.445,-0.907,0.16,-0.53,-0.1,0.2,-0.12,-0.11
2022-12-06 15:33:18.4530,-0.009,0.432,-0.902,0.06,-0.46,-0.14,0.19,-0.13,-0.11
2022-12-06 15:33:18.4630,0.01,0.418,-0.899,-0.09,-0.33,-0.18,0.17,-0.15,-0.11
2022-12-06 15:33:18.4730,0.024,0.406,-0.891,-0.3,-0.22,-0.23,0.15,-0.17,-0.1
2022-12-06 15:33:18.4830,0.028,0.396,-0.875,-0.41,-0.12,-0.35,0.12,-0.2,-0.09
2022-12-06 15:33:18.4930,0.031,0.391,-0.857,-0.46,-0.05,-0.52,0.09,-0.2,-0.08
2022-12-06 15:33:18.5030,0.036,0.388,-0.844,-0.52,-0.02,-0.7,0.06,-0.17,-0.08
2022-12-06 15:33:18.5130,0.04,0.39,-0.834,-0.58,0.0,-0.8,0.03,-0.11,-0.06
2022-12-06 15:33:18.5230,0.045,0.393,-0.83,-0.63,-0.03,-0.89,0.01,-0.03,-0.04
2022-12-06 15:33:18.5330,0.05,0.399,-0.842,-0.69,-0.07,-0.87,0.02,0.07,-0.01
2022-12-06 15:33:18.5430,0.051,0.407,-0.863,-0.71,-0.15,-0.71,0.02,0.07,-0.01
2022-12-06 15:33:18.5530,0.049,0.403,-0.878,-0.69,-0.2,-0.51,0.11,0.24,0.03
2022-12-06 15:33:18.5630,0.044,0.39,-0.883,-0.64,-0.12,-0.41,0.15,0.27,0.02
2022-12-06 15:33:18.5730,0.037,0.377,-0.881,-0.55,-0.01,-0.39,0.17,0.26,0.0
2022-12-06 15:33:18.5830,0.029,0.365,-0.87,-0.46,0.11,-0.46,0.17,0.23,-0.03
2022-12-06 15:33:18.5940,0.023,0.364,-0.867,-0.36,0.18,-0.56,0.16,0.18,-0.07
2022-12-06 15:33:18.6040,0.027,0.368,-0.872,-0.31,0.14,-0.56,0.15,0.13,-0.11
2022-12-06 15:33:18.6140,0.037,0.376,-0.885,-0.39,0.09,-0.5,0.16,0.09,-0.12
2022-12-06 15:33:18.6240,0.044,0.398,-0.921,-0.47,-0.05,-0.29,0.19,0.08,-0.12
2022-12-06 15:33:18.6340,0.05,0.423,-0.961,-0.54,-0.31,0.1,0.25,0.12,-0.09
2022-12-06 15:33:18.6440,0.048,0.445,-0.987,-0.56,-0.57,0.43,0.31,0.21,-0.05
2022-12-06 15:33:18.6540,0.04,0.466,-1.013,-0.49,-0.83,0.65,0.4,0.3,-0.01
2022-12-06 15:33:18.6640,0.034,0.465,-1.038,-0.38,-1.01,0.9,0.5,0.37,0.03
2022-12-06 15:33:18.6740,0.06,0.458,-1.054,-0.37,-0.99,1.1,0.6,0.38,0.1
2022-12-06 15:33:18.6840,0.068,0.461,-1.06,-0.63,-1.02,1.2,0.68,0.31,0.14
2022-12-06 15:33:18.6940,0.049,0.458,-1.07,-0.5,-1.11,1.22,0.75,0.19,0.15
2022-12-06 15:33:18.7040,0.044,0.433,-1.078,-0.34,-1.07,1.31,0.82,0.04,0.18
2022-12-06 15:33:18.7140,0.058,0.411,-1.077,-0.36,-0.88,1.33,0.9,-0.11,0.23
2022-12-06 15:33:18.7240,0.079,0.405,-1.063,-0.54,-0.81,1.24,0.97,-0.26,0.3
2022-12-06 15:33:18.7340,0.101,0.415,-1.056,-0.77,-0.9,1.07,1.07,-0.39,0.38
2022-12-06 15:33:18.7440,0.124,0.428,-1.05,-1.02,-1.14,1.01,1.16,-0.49,0.49
2022-12-06 15:33:18.7540,0.13,0.43,-1.026,-1.25,-1.34,0.84,1.25,-0.56,0.58
2022-12-06 15:33:18.7640,0.069,0.432,-1.008,-1.18,-1.46,0.57,1.34,-0.64,0.6
2022-12-06 15:33:18.7740,0.018,0.437,-0.993,-0.43,-1.65,0.37,1.41,-0.74,0.61
2022-12-06 15:33:18.7840,0.053,0.416,-0.983,-0.39,-1.75,0.2,1.47,-0.83,0.63
2022-12-06 15:33:18.7940,0.064,0.406,-0.976,-0.82,-1.67,0.09,1.5,-0.87,0.63
2022-12-06 15:33:18.8040,0.047,0.399,-0.948,-0.81,-1.75,-0.04,1.5,-0.87,0.61
2022-12-06 15:33:18.8140,0.044,0.398,-0.898,-0.77,-1.83,-0.47,1.48,-0.83,0.55
2022-12-06 15:33:18.8240,0.052,0.394,-0.868,-0.84,-1.97,-0.96,1.44,-0.72,0.49
2022-12-06 15:33:18.8340,0.064,0.376,-0.874,-1.0,-2.03,-1.13,1.43,-0.56,0.45
2022-12-06 15:33:18.8440,0.079,0.341,-0.881,-1.17,-1.91,-1.06,1.44,-0.36,0.43
2022-12-06 15:33:18.8540,0.089,0.306,-0.885,-1.32,-1.69,-1.02,1.45,-0.12,0.43
2022-12-06 15:33:18.8640,0.096,0.277,-0.885,-1.41,-1.51,-1.02,1.47,0.15,0.43
2022-12-06 15:33:18.8740,0.102,0.252,-0.886,-1.44,-1.38,-1.04,1.44,0.43,0.44
2022-12-06 15:33:18.8840,0.102,0.222,-0.891,-1.43,-1.27,-1.03,1.37,0.73,0.42
2022-12-06 15:33:18.8950,0.09,0.178,-0.906,-1.3,-1.05,-0.98,1.26,1.01,0.37
2022-12-06 15:33:18.9050,0.071,0.134,-0.928,-1.03,-0.7,-0.81,1.16,1.25,0.32
2022-12-06 15:33:18.9150,0.058,0.108,-0.96,-0.72,-0.44,-0.57,1.06,1.43,0.3
